name,domain,vertical,hq,fit,ats_slugs,notes,query,paper_query,persona,contact,blurb,data,verified,brief
Dexory,dexory.com,Warehouse robotics,London,5,dexory,Camera robots scan racking daily; Storage Health launched Feb 2026,"""Dexory""",Dexory,Head of Perception / ML Lead,,Autonomous robots that drive warehouse aisles scanning racking so operators get a live inventory and damage alerts,"Millions of near-identical shelf images per site per week; new Storage Health classes (damaged stock, leaning pallets) need fresh labels",yes,yes
Oxa,oxa.tech,Industrial autonomy,Oxford,5,oxa;oxbotica,Autonomous vehicles for ports and airports; Oxa Foundry toolchain,"""Oxa"" autonomous OR autonomy",Oxa autonomous,Perception Lead / Data Platform Lead,,"Self-driving software for industrial vehicles in ports, airports and factories (customers DHL, bp)",Multi-camera and LIDAR streams from repetitive site routes; point clouds plus video that need synced 3D and 2D labelling,yes,no
Humanoid,thehumanoid.ai,Humanoid robotics,London,5,humanoid;thehumanoid,Bosch contract manufacturing; scaling to fleet,"""Humanoid"" robotics startup London","""Humanoid"" Bosch",Head of AI / Data Infrastructure Lead,,"Industrial humanoid and wheeled robots for factories and logistics, manufactured with Bosch",Manipulation and egocentric video from robot fleets; teleop demonstrations that need segmentation and keypoint labels,yes,no
Wayve,wayve.ai,Autonomous driving,London,5,wayve,End-to-end AI driver; large in-house ML team,"""Wayve""",Wayve,Data Platform Lead (perception team is well covered),,"End-to-end AI driver for cars and robotaxis, Nissan production deal, Uber pilots in London","Petabytes of dashcam and sensor data; labelling is in-house, the gap is evaluating model failures by scene type",no,no
Dogtooth Technologies,dogtooth.tech,Agri robotics,Royston,4,dogtooth;dogtoothtechnologies,Fruit picking and grading robots,"""Dogtooth"" robot OR harvesting",Dogtooth,CTO / Lead CV Engineer,,"Robots that find, grade and pick soft fruit on farms","Close-up fruit images in messy lighting needing ripeness and defect labels; small team, no spare labelling capacity",no,no
Automata,automata.tech,Lab automation,London,3,automata;automatatech,LINQ platform; bench imaging,"""Automata"" lab automation",,Head of Software / CV Lead,,Robotic lab automation platform (LINQ) that runs wet-lab experiments for pharma,"Bench camera QC and plate imaging; modest volumes, but every label needs a scientist's eye",no,no
Skyports Drone Services,skyports.net,Drones,Aylesbury,4,skyports,BVLOS logistics and inspection,"""Skyports"" drone",Skyports,Head of Autonomy / CV Lead,,"Drone delivery and inspection operator (Royal Mail Orkney, infrastructure surveys)",Aerial video and inspection stills; detect-and-avoid and asset-defect labels for BVLOS approvals,no,no
CMR Surgical,cmrsurgical.com,Surgical robotics,Cambridge,5,cmrsurgical,Versius; surgical video analytics,"""CMR Surgical""","""CMR Surgical"" OR Versius",Head of Data Science / Clinical AI Lead,,"Versius surgical robot used in hospitals worldwide, with video-based surgical analytics",Surgical video and instrument telemetry; labels need clinicians and strict data governance,no,no
Kheiron Medical,kheironmed.com,Medical imaging,London,4,kheiron;kheironmedical,AI mammography,"""Kheiron"" mammography OR breast",Kheiron,Head of ML / Clinical Data Lead,,AI that reads mammograms as a second reader in NHS breast screening,"Mammography DICOM; expert radiologist labels are the cost centre, regulatory-grade QA required",no,no
Opteran,opteran.com,Robot navigation,Sheffield,3,opteran,Insect-brain navigation,"""Opteran""",Opteran,CTO / Perception Lead,,"Insect-brain-inspired navigation software for robots and drones, no training data by design",Low-volume test footage; a nurture account unless they add perception models,no,no
Tharsus,tharsus.co.uk,Robotics manufacturing,Blyth,3,tharsus,Builds robots for Ocado and others,"""Tharsus""",Tharsus,Head of Software / Automation Lead,,"Contract designer and manufacturer of robots for Ocado, Boston Dynamics-style customers",Factory test and vision-QC imagery for customers' robots; data owned jointly with clients,no,no
Extend Robotics,extendrobotics.com,Teleoperation,Reading,3,extendrobotics;extend-robotics,VR teleop and autonomy data,"""Extend Robotics""","""Extend Robotics""",CTO / Autonomy Lead,,VR teleoperation software to control robots remotely and collect demonstrations,Teleop demonstration video and 3D scenes; labels for imitation learning,no,no
Proximie,proximie.com,Surgical video,London,4,proximie,Operating room video platform,"""Proximie""",Proximie,VP Engineering / Head of AI,,Cloud platform that records and streams surgery from 104+ NHS operating theatres,Huge surgical video corpus with AWS and Deloitte pilot; phase and instrument labelling at scale,yes,no
